Added 08_09 free 	 cmus
Added 32_33 nonfree 	 xorg-x11-drv-nvidia-470xx
Added 32_33 nonfree 	 zerotier-one
Removed 08_09 free 	akode-extras
Removed 08_09 free 	gspca
Removed 08_09 free 	gspca-kmod
Removed 08_09 nonfree 	nvidia-legacy-kmod
Removed 08_09 free 	vdr-remote
Removed 08_09 nonfree 	xorg-x11-drv-nvidia-legacy
Removed 09_10 free 	amarok-extras-freeworld
Removed 09_10 nonfree 	nvidia-newest-kmod
Removed 09_10 nonfree 	xorg-x11-drv-nvidia-newest
Removed 10_11 nonfree 	fglrx-kmod
Removed 10_11 nonfree 	madwifi
Removed 10_11 nonfree 	madwifi-kmod
Removed 10_11 nonfree 	nvidia-beta-kmod
Removed 10_11 free 	plus4emu
Removed 10_11 free 	qc-usb
Removed 10_11 free 	qc-usb-kmod
Removed 10_11 free 	vdr-muggle
Removed 10_11 free 	xmms-wma
Removed 10_11 nonfree 	xorg-x11-drv-fglrx
Removed 10_11 nonfree 	xorg-x11-drv-nvidia-beta
Removed 11_12 free 	blcr
Removed 11_12 free 	blcr-kmod
Removed 11_12 free 	sysprof
Removed 11_12 free 	sysprof-kmod
Removed 11_12 free 	ultrastardx
Removed 12_13 free 	iscsitarget
Removed 12_13 free 	iscsitarget-kmod
Removed 12_13 nonfree 	slmodem-kmod
Removed 12_13 free 	xine
Removed 13_14 free 	avbin
Removed 13_14 free 	pyglet
Removed 13_14 free 	snowballz
Removed 13_14 free 	vboxgtk
Removed 14_15 free 	compat-plone
Removed 14_15 free 	compat-python24
Removed 14_15 free 	compat-python24-elementtree
Removed 14_15 free 	compat-python24-feedparser
Removed 14_15 free 	compat-python24-imaging
Removed 14_15 free 	compat-python24-libxml2
Removed 14_15 free 	compat-python24-lxml
Removed 14_15 free 	compat-python24-setuptools
Removed 14_15 free 	compat-zope
Removed 14_15 free 	elisa-plugins-ugly
Removed 14_15 free 	em8300-kmod
Removed 14_15 free 	kqemu
Removed 14_15 free 	kqemu-kmod
Removed 14_15 nonfree 	libdrm-poulsbo
Removed 14_15 nonfree 	ogre-cg
Removed 14_15 free 	open-vm-tools
Removed 14_15 nonfree 	psb-firmware
Removed 14_15 nonfree 	psb-kmod
Removed 14_15 free 	vdr-dxr3
Removed 14_15 nonfree 	xorg-x11-drv-psb
Removed 14_15 nonfree 	xpsb-glx
Removed 15_16 free 	kino
Removed 15_16 free 	lastfm
Removed 15_16 free 	libdlna
Removed 15_16 free 	mythtv-themes
Removed 15_16 free 	omnibook
Removed 15_16 free 	omnibook-kmod
Removed 15_16 free 	open-vm-tools-kmod
Removed 15_16 free 	rt2860
Removed 15_16 free 	rt2860-kmod
Removed 15_16 free 	rt2870
Removed 15_16 free 	rt2870-kmod
Removed 15_16 free 	rt3070
Removed 15_16 free 	rt3070-kmod
Removed 15_16 free 	thoggen
Removed 15_16 free 	ushare-freeworld
Removed 15_16 free 	xdtv
Removed 16_17 free 	fceultra
Removed 16_17 free 	ffmpeg2dirac
Removed 16_17 free 	libva-freeworld
Removed 16_17 nonfree 	livna-config-display
Removed 16_17 free 	pragha
Removed 16_17 free 	qtractor
Removed 16_17 nonfree 	sdlmame
Removed 16_17 nonfree 	sdlmame-data-artwork
Removed 16_17 nonfree 	sdlmame-data-roms
Removed 16_17 nonfree 	sdlmame-data-samples
Removed 16_17 nonfree 	sdlmess
Removed 16_17 nonfree 	slmodem
Removed 16_17 free 	smpeg
Removed 16_17 free 	streamdvd
Removed 16_17 free 	vdpau-video-freeworld
Removed 16_17 free 	VirtualBox-OSE
Removed 16_17 free 	VirtualBox-OSE-kmod
Removed 17_18 nonfree 	ec2-api-tools
Removed 17_18 free 	flvtool2
Removed 17_18 free 	kdemultimedia-extras-freeworld
Removed 17_18 nonfree 	mess
Removed 17_18 nonfree 	nvidia-96xx-kmod
Removed 17_18 nonfree 	openmotif
Removed 17_18 free 	thunderbird-enigmail
Removed 17_18 nonfree 	xorg-x11-drv-nvidia-96xx
Removed 18_19 nonfree 	audacious-plugins-nonfree
Removed 18_19 nonfree 	catalyst-legacy-kmod
Removed 18_19 free 	gfceu
Removed 18_19 free 	jbigkit
Removed 18_19 free 	libva-vdpau-driver
Removed 18_19 free 	miro
Removed 18_19 nonfree 	paintdotnet
Removed 18_19 nonfree 	raine
Removed 18_19 nonfree 	sdlmame-data
Removed 18_19 nonfree 	sidplay
Removed 18_19 nonfree 	sidplay-libs
Removed 18_19 free 	west-chamber
Removed 18_19 free 	west-chamber-kmod
Removed 18_19 nonfree 	xorg-x11-drv-catalyst-legacy
Removed 19_20 nonfree 	edgar
Removed 19_20 free 	ffmpeg2theora
Removed 19_20 free 	picard-freeworld
Removed 19_20 free 	rpmfusion-free-package-config-smart
Removed 19_20 nonfree 	rpmfusion-nonfree-package-config-smart
Removed 19_20 free 	xine-lib-extras-freeworld
Removed 19_20 free 	y4mscaler
Removed 20_21 nonfree 	freecad
Removed 20_21 free 	mpg321
Removed 20_21 nonfree 	nvidia-173xx-kmod
Removed 20_21 nonfree 	OCE
Removed 20_21 free 	openafs
Removed 20_21 free 	openafs-kmod
Removed 20_21 nonfree 	realcrypt
Removed 20_21 nonfree 	smesh
Removed 20_21 nonfree 	xorg-x11-drv-nvidia-173xx
Removed 21_22 free 	autopano-sift-C
Removed 21_22 free 	cairo-dock
Removed 21_22 nonfree 	catalyst-kmod
Removed 21_22 free 	qtractor-freeworld
Removed 21_22 nonfree 	ufoai
Removed 21_22 free 	xbmc
Removed 21_22 free 	xbmc-pvr-addons
Removed 21_22 nonfree 	xorg-x11-drv-catalyst
Removed 22_23 free 	kodi-pvr-addons
Removed 22_23 nonfree 	mame-data-extras
Removed 22_23 nonfree 	openclonk
Removed 22_23 free 	oxine
Removed 22_23 free 	staging-kmod
Removed 22_23 free 	staging-kmod-addons
Removed 23_24 free 	bsnes
Removed 23_24 free 	gecko-mediaplayer
Removed 23_24 nonfree 	gmameui
Removed 23_24 free 	gmtk
Removed 23_24 free 	gnome-mplayer
Removed 23_24 free 	gnome-shell-extension-weather
Removed 23_24 free 	kmediafactory
Removed 23_24 free 	libtunepimp-extras-freeworld
Removed 23_24 nonfree 	mame
Removed 23_24 free 	minitube
Removed 23_24 free 	nailer
Removed 23_24 nonfree 	pgadmin3
Removed 23_24 nonfree 	php-pecl-pdflib
Removed 24_25 free 	devede
Removed 24_25 free 	libdvbpsi
Removed 24_25 free 	mlt
Removed 24_25 free 	mpg123
Removed 24_25 free 	perl-Crypt-IDEA
Removed 24_25 nonfree 	ufoai-data
Removed 24_25 free 	xmms-mp3
Removed 25_26 free 	a52dec
Removed 25_26 free 	akmods
Removed 25_26 free 	cAudio-freeworld
Removed 25_26 free 	dolphin-emu
Removed 25_26 free 	kmodtool
Removed 25_26 free 	lame
Removed 25_26 free 	libmad
Removed 25_26 free 	libvdpau-va-gl
Removed 25_26 free 	madplay
Removed 25_26 free 	pcsxr
Removed 25_26 free 	vbam
Removed 26_27 free 	ffmpeg-compat
Removed 26_27 free 	foo2zjs
Removed 26_27 nonfree 	lpf-skype
Removed 26_27 free 	miam-player
Removed 26_27 nonfree 	qmc2
Removed 26_27 free 	sonic-visualiser-freeworld
Removed 26_27 free 	sox-plugins-freeworld
Removed 27_28 free 	bcg729
Removed 27_28 free 	DVDAuthorWizard
Removed 27_28 free 	dvdrip
Removed 27_28 free 	DVDRipOMatic
Removed 27_28 nonfree 	e-uae
Removed 27_28 free 	gmediafinder
Removed 27_28 nonfree 	gnome-video-arcade
Removed 27_28 free 	libtxc_dxtn
Removed 27_28 free 	m2vmp2cut
Removed 27_28 free 	npapi-vlc
Removed 27_28 nonfree 	nvidia-304xx-kmod
Removed 27_28 free 	subtitleripper
Removed 27_28 free 	transcode
Removed 27_28 free 	twolame
Removed 27_28 nonfree 	xorg-x11-drv-nvidia-304xx
Removed 28_29 free 	kwave
Removed 28_29 free 	mp3fs
Removed 29_30 free 	bombono-dvd
Removed 29_30 nonfree 	comical
Removed 29_30 free 	freetype-freeworld
Removed 29_30 nonfree 	gens-gs
Removed 29_30 free 	k9copy
Removed 29_30 free 	kplayer
Removed 29_30 nonfree 	Mosaic
Removed 29_30 free 	nvidia-video-codec-sdk
Removed 29_30 free 	traverso
Removed 29_30 free 	yle-dl
Removed 30_31 nonfree 	gstreamer1-plugins-bad-nonfree
Removed 30_31 free 	gstreamer-plugins-bad
Removed 30_31 nonfree 	gstreamer-plugins-bad-nonfree
Removed 30_31 free 	gstreamer-plugins-ugly
Removed 30_31 free 	gxine
Removed 30_31 nonfree 	jad
Removed 30_31 free 	libmpeg2
Removed 30_31 nonfree 	mednafen
Removed 30_31 free 	mp3gain
Removed 31_32 free 	bubbros
Removed 31_32 free 	chromium-libs-media-freeworld
Removed 31_32 free 	chromium-vaapi
Removed 31_32 free 	gstreamer-ffmpeg
Removed 31_32 free 	k3b-extras-freeworld
Removed 31_32 free 	scottfree
Removed 31_32 free 	wireguard
Removed 31_32 free 	wireguard-kmod
Removed 31_32 nonfree 	xsnow
Removed 32_33 nonfree 	broadcom-bt-firmware
Removed 32_33 free 	deepin-screen-recorder
Removed 32_33 free 	fakenes
Removed 32_33 free 	freeguide
Removed 32_33 free 	gcube
Removed 32_33 free 	vidcutter
Removed 33_34 free 	deepin-music
Removed 33_34 free 	deepin-voice-recorder
Removed 33_34 nonfree 	dream
Removed 33_34 free 	exfat-utils
Removed 33_34 free 	fuse-exfat
Removed 33_34 nonfree 	lpf-flash-plugin
Removed 33_34 free 	openmw
Removed 33_34 free 	z-push
Removed 34_35 free 	chromium-browser-privacy
Removed 34_35 nonfree 	mopidy-spotify
Removed 34_35 free 	normalize
Removed 34_35 nonfree 	openhantek
Removed 34_35 nonfree 	pipelight
Removed 34_35 nonfree 	python-pyspotify
Removed 34_35 free 	rpmfusion-free-remix-kickstarts
Removed 34_35 nonfree 	rpmfusion-nonfree-remix-kickstarts
Removed 34_35 nonfree 	unace
Removed 34_35 free 	vcmi
Removed 34_35 free 	xmms-mplayer
